x,y,topic_id,full_text
0.10085566102104032,-0.11668702783976001,2,"@romo_atheistan,""Sep 25"",""Dear"",""keracunan"",""Mau"",""MBG"",""apalagi yg digunakan oleh kepala BGN jika tiap saat ada siswa yg wajib"",""Jeni_Ly again"",""@Jelli_cent"",""Sep 24"","""",""1"","""",""?"
0.047604010491283086,-0.008607044477794926,0,"@dbowo99,""Sep 19"",""Apakah didalam vidio tersebut akibat"",""keracunan"","""",""MBG"","""","""","""","""","""","""","""",""?"""
0.026756948455682945,-0.00457434671735696,0,"Kata mutiara """"ndasmu"""" ga termasuk, bang?"","""","""","""","""","""","""","""""
0.1487081676308295,0.10541221959205671,1,"@faufau26798,""Sep 18"",""gila yaa, anak sendiri di rumah dikasih makan yg enak, eeeh di sekolah dikasih"",""mbg"",""trus"",""keracunan"","", dan sebagai ortu gaboleh nuntut tuh logikanya dimana yaaa????"","""","""","""","""","""","""","""""
0.10599281995742575,-0.10363740625844957,0,"Usut tuntas kasus,""keracunan"","""",""MBG"","""","""","""","""""
0.053752573279319274,-0.01621404300056565,0,"Udah bener² di jaga makannya ama Ortunya.. eh malah mo di korbanin buat cari cuan beberapa pihak aja.."","""","""","""","""","""","""","""""
0.0592124481310793,-0.03434037708342548,0,"@Alis_tora,""Sep 24"",""Ini nunggu meninggal"",""keracunan"",""baru di hapus"",""mbg"",""ini?"",""Never"",""@neVerAl0nely___"",""Sep 24"",""https://pbs.twimg.com/ext_tw_video_thumb/1970686780136640512/pu/img/gHlPOKT7rVN1kmB0.jpg"","""","""","""""
0.011466847098706642,-0.002036777473366227,0,"@DHendrawan8,""May 17"",""gaul nya lebih jauh? lu kabel nya gak nyambung ya ?"
0.01955360755957542,-0.000849126400450039,0,"@iwalanwar,""Jan 26"",""Anda beli steak harga 6 juta dan"",""keracunan"","". Bisa apa? Komplain dan tuntut pemilik restoran. Tapi ini urusan pribadi Anda dan pemilik restoran."
0.14081249433609513,-0.06313631403113043,3,"@Pengejar_Visi,""Sep 20"",""Pertanyaannya, jika anak lu yg jadi korban"",""keracunan"","""",""MBG"","", masih bisa gak lu ngomong itu misi yg baik ? kalian gak nganggap 1 aja korban siswa"","""","""","""","""","""",""keracunan"",""itu sudah terlalu banyak, mana dampak dominonya lagi bagi keluarga mereka. Ini totalnya udah ribuan loh ??"""
0.039124041518266026,-0.004183175577403303,0,"@ichigonotoru_,""Aug 21"",""BODOH, BODOH BANGET BANGSATTTT ITU UANG 50 JUTA AJA LU UDAH BISA BUAT BAYAR KOSAN SEJUTAAN BUAT 4 TAUN YA BANGSAT"
